=== SOAK START 2026-06-26 12:22:34 ===
[15:01:28] eranda-collector CPU=141.50% MEM=601.3MiB / 3.819GiB eranda-redis CPU=2.31% MEM=25.62MiB / 3.819GiB  || CONSUMER-1 q=0 keys=39 CONSUMER-0 q=0 keys=39  || reconnect_olayı(son200satır)=0
[15:03:31] eranda-collector CPU=182.93% MEM=601.5MiB / 3.819GiB eranda-redis CPU=1.75% MEM=25.75MiB / 3.819GiB  || CONSUMER-0 q=7 keys=39 CONSUMER-1 q=15 keys=39  || reconnect_olayı(son200satır)=0
[15:05:33] eranda-collector CPU=162.11% MEM=601.4MiB / 3.819GiB eranda-redis CPU=2.09% MEM=24.84MiB / 3.819GiB  || CONSUMER-1 q=15 keys=39 CONSUMER-0 q=6 keys=39  || reconnect_olayı(son200satır)=0
[15:07:35] eranda-collector CPU=178.41% MEM=601.1MiB / 3.819GiB eranda-redis CPU=2.55% MEM=27.01MiB / 3.819GiB  || CONSUMER-1 q=54 keys=39 CONSUMER-0 q=9 keys=39  || reconnect_olayı(son200satır)=0
[15:09:38] eranda-collector CPU=165.79% MEM=601.4MiB / 3.819GiB eranda-redis CPU=2.20% MEM=25.36MiB / 3.819GiB  || CONSUMER-1 q=0 keys=39 CONSUMER-0 q=16 keys=39  || reconnect_olayı(son200satır)=0
[15:11:40] eranda-collector CPU=143.50% MEM=601.4MiB / 3.819GiB eranda-redis CPU=2.08% MEM=25.18MiB / 3.819GiB  || CONSUMER-1 q=0 keys=39 CONSUMER-0 q=2 keys=39  || reconnect_olayı(son200satır)=0
[15:13:42] eranda-collector CPU=117.28% MEM=601.3MiB / 3.819GiB eranda-redis CPU=1.93% MEM=24.79MiB / 3.819GiB  || CONSUMER-0 q=7 keys=39 CONSUMER-1 q=0 keys=39  || reconnect_olayı(son200satır)=0
[15:15:45] eranda-collector CPU=142.97% MEM=601.6MiB / 3.819GiB eranda-redis CPU=1.98% MEM=24.42MiB / 3.819GiB  || CONSUMER-1 q=1 keys=39 CONSUMER-0 q=46 keys=39  || reconnect_olayı(son200satır)=0
[15:17:47] eranda-collector CPU=159.92% MEM=601.7MiB / 3.819GiB eranda-redis CPU=2.12% MEM=25.58MiB / 3.819GiB  || CONSUMER-1 q=19 keys=39 CONSUMER-0 q=0 keys=39  || reconnect_olayı(son200satır)=0
[15:19:50] eranda-collector CPU=184.95% MEM=601.8MiB / 3.819GiB eranda-redis CPU=5.93% MEM=26.98MiB / 3.819GiB  || CONSUMER-1 q=27 keys=39 CONSUMER-0 q=13 keys=39  || reconnect_olayı(son200satır)=0
[15:21:52] eranda-collector CPU=182.03% MEM=601.6MiB / 3.819GiB eranda-redis CPU=2.25% MEM=25.98MiB / 3.819GiB  || CONSUMER-1 q=39 keys=39  || reconnect_olayı(son200satır)=0
[15:23:54] eranda-collector CPU=103.25% MEM=600.9MiB / 3.819GiB eranda-redis CPU=2.12% MEM=24.33MiB / 3.819GiB  || CONSUMER-1 q=27 keys=39 CONSUMER-0 q=3 keys=39  || reconnect_olayı(son200satır)=0
[15:25:57] eranda-collector CPU=167.07% MEM=601MiB / 3.819GiB eranda-redis CPU=2.73% MEM=25.93MiB / 3.819GiB  || CONSUMER-1 q=13 keys=39 CONSUMER-0 q=69 keys=39  || reconnect_olayı(son200satır)=0
[15:27:59] eranda-collector CPU=202.30% MEM=601.7MiB / 3.819GiB eranda-redis CPU=1.94% MEM=25.97MiB / 3.819GiB  || CONSUMER-1 q=12 keys=39 CONSUMER-0 q=27 keys=39  || reconnect_olayı(son200satır)=0
[15:30:01] eranda-collector CPU=201.32% MEM=599.6MiB / 3.819GiB eranda-redis CPU=2.01% MEM=24.93MiB / 3.819GiB  || CONSUMER-1 q=5 keys=39 CONSUMER-0 q=7 keys=39  || reconnect_olayı(son200satır)=0
[15:32:04] eranda-collector CPU=200.75% MEM=599.4MiB / 3.819GiB eranda-redis CPU=2.01% MEM=25.41MiB / 3.819GiB  || CONSUMER-0 q=4 keys=39 CONSUMER-1 q=3 keys=39  || reconnect_olayı(son200satır)=0
[15:34:06] eranda-collector CPU=195.88% MEM=599.2MiB / 3.819GiB eranda-redis CPU=2.20% MEM=25.26MiB / 3.819GiB  || CONSUMER-0 q=77 keys=39 CONSUMER-1 q=1 keys=39  || reconnect_olayı(son200satır)=0
[15:36:07] eranda-collector CPU=158.17% MEM=599.4MiB / 3.819GiB eranda-redis CPU=6.10% MEM=25.94MiB / 3.819GiB  || CONSUMER-1 q=12 keys=39 CONSUMER-0 q=55 keys=39  || reconnect_olayı(son200satır)=0
[15:38:09] eranda-collector CPU=211.10% MEM=599.7MiB / 3.819GiB eranda-redis CPU=2.05% MEM=25.4MiB / 3.819GiB  || CONSUMER-1 q=15 keys=39 CONSUMER-0 q=0 keys=39  || reconnect_olayı(son200satır)=0
[15:40:11] eranda-collector CPU=165.26% MEM=599.6MiB / 3.819GiB eranda-redis CPU=2.20% MEM=24.47MiB / 3.819GiB  || CONSUMER-1 q=1 keys=39 CONSUMER-0 q=62 keys=39  || reconnect_olayı(son200satır)=0
[15:42:14] eranda-collector CPU=46.23% MEM=598.6MiB / 3.819GiB eranda-redis CPU=2.75% MEM=25.43MiB / 3.819GiB  || CONSUMER-0 q=24 keys=39 CONSUMER-1 q=3 keys=39  || reconnect_olayı(son200satır)=0
